Timestamp;ContainerName;CPU_Percent;Memory_Usage_and_Limit
2025-12-01 01:45:28;n3iwue;0.00%;3.98MiB / 15.61GiB
2025-12-01 01:45:28;ueransim;37.32%;9.348MiB / 15.61GiB
2025-12-01 01:45:28;n3iwf;0.00%;14.86MiB / 15.61GiB
2025-12-01 01:45:28;smf;311.23%;3.133GiB / 15.61GiB
2025-12-01 01:45:28;nssf;0.00%;8.371MiB / 15.61GiB
2025-12-01 01:45:28;udm;0.00%;10.28MiB / 15.61GiB
2025-12-01 01:45:28;pcf;0.00%;10.46MiB / 15.61GiB
2025-12-01 01:45:28;ausf;0.00%;15.85MiB / 15.61GiB
2025-12-01 01:45:28;udr;0.00%;10.45MiB / 15.61GiB
2025-12-01 01:45:28;webui;2.95%;18MiB / 15.61GiB
2025-12-01 01:45:28;nef;0.00%;8.18MiB / 15.61GiB
2025-12-01 01:45:28;nrf;11.24%;14.89MiB / 15.61GiB
2025-12-01 01:45:28;upf;81.64%;1.98GiB / 15.61GiB
2025-12-01 01:45:28;mongodb;2.23%;167MiB / 15.61GiB
2025-12-01 01:45:35;amf;0.01%;14.35MiB / 15.61GiB
2025-12-01 01:45:35;chf;99.48%;26.58MiB / 15.61GiB
2025-12-01 01:45:35;ue;0.07%;1MiB / 15.61GiB
2025-12-01 01:45:35;n3iwue;0.00%;3.98MiB / 15.61GiB
2025-12-01 01:45:35;ueransim;0.13%;7.941MiB / 15.61GiB
