Timestamp;ContainerName;CPU_Percent;Memory_Usage_and_Limit
2025-12-01 02:07:33;smf;44.72%;2.68GiB / 15.61GiB
2025-12-01 02:07:33;nssf;0.00%;7.871MiB / 15.61GiB
2025-12-01 02:07:33;udm;0.00%;10.09MiB / 15.61GiB
2025-12-01 02:07:33;pcf;0.00%;10.43MiB / 15.61GiB
2025-12-01 02:07:33;ausf;0.00%;15.28MiB / 15.61GiB
2025-12-01 02:07:33;udr;0.00%;10.2MiB / 15.61GiB
2025-12-01 02:07:33;webui;4.12%;42.49MiB / 15.61GiB
2025-12-01 02:07:33;nef;0.00%;7.941MiB / 15.61GiB
2025-12-01 02:07:33;nrf;15.38%;14.98MiB / 15.61GiB
2025-12-01 02:07:33;upf;87.02%;1.782GiB / 15.61GiB
2025-12-01 02:07:33;mongodb;1.70%;183.2MiB / 15.61GiB
2025-12-01 02:07:40;amf;0.16%;13.78MiB / 15.61GiB
2025-12-01 02:07:40;chf;102.52%;28.12MiB / 15.61GiB
2025-12-01 02:07:40;ue;0.07%;1020KiB / 15.61GiB
2025-12-01 02:07:40;n3iwue;0.00%;4.027MiB / 15.61GiB
2025-12-01 02:07:40;ueransim;0.14%;8.285MiB / 15.61GiB
2025-12-01 02:07:40;n3iwf;0.00%;14.51MiB / 15.61GiB
2025-12-01 02:07:40;smf;123.91%;4.423GiB / 15.61GiB
2025-12-01 02:07:40;nssf;0.00%;7.871MiB / 15.61GiB
2025-12-01 02:07:40;udm;0.00%;10.09MiB / 15.61GiB
2025-12-01 02:07:40;pcf;0.09%;10.43MiB / 15.61GiB
2025-12-01 02:07:40;ausf;0.00%;15.28MiB / 15.61GiB
2025-12-01 02:07:40;udr;0.00%;10.2MiB / 15.61GiB
2025-12-01 02:07:40;webui;4.06%;47.47MiB / 15.61GiB
2025-12-01 02:07:40;nef;0.00%;7.941MiB / 15.61GiB
2025-12-01 02:07:40;nrf;16.15%;14.56MiB / 15.61GiB
2025-12-01 02:07:40;upf;139.76%;1.959GiB / 15.61GiB
2025-12-01 02:07:40;mongodb;1.68%;183.2MiB / 15.61GiB
